product_name,variant_name,variant_price,variant_sku,variant_stock,parent,Favourite,Product Description,Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
,1-1/2 BSPTMaleX1-1/4 BSPTFemale Red.Bush,17.15,B1B-24-20,143,B1B,,,,,1 1/2,1 1/4,,,,2,24-20,,,,,,,,
,2-0 BSPT Male X 1-0 BSPT Female Red.Bush,39,B1B-32-16,183,B1B,,,,,2,1,,,,2,32-16,,,,,,,,
,2-0 BSPT MaleX1-1/4 BSPT Female Red.Bush,34.1,B1B-32-20,53,B1B,,,,,2,1 1/4,,,,2,32-20,,,,,,,,
,2-0 BSPT MaleX1-1/2 BSPT Female Red.Bush,40,B1B-32-24,94,B1B,,,,,2,1 1/2,,,,2,32-24,,,,,,,,
B1F,,,,,,,,BSPT Female X BSPT Female,,BSPT F,BSPT F,,,,,11930,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312370_1709547383_1709546526_B1F.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPT Female X 1/8 BSPT Female,5,B1F-02-02,908,B1F,,,,,8-Jan,8-Jan,,,,2,2-Feb,,,,,,,,
,1/8 BSPT Female X 1/4 BSPT Female,5.85,B1F-02-04,634,B1F,,,,,8-Jan,4-Jan,,,,2,4-Feb,,,,,,,,
,1/8 BSPT Female X 3/8 BSPT Female,6.75,B1F-02-06,155,B1F,,,,,8-Jan,8-Mar,,,,2,6-Feb,,,,,,,,
,1/4 BSPT Female X 1/4 BSPT Female,4.8,B1F-04-04,930,B1F,,,,,4-Jan,4-Jan,,,,2,4-Apr,,,,,,,,
,1/4 BSPT Female X 3/8 BSPT Female,6.15,B1F-04-06,269,B1F,,,,,4-Jan,8-Mar,,,,2,6-Apr,,,,,,,,
,1/4 BSPT Female X 1/2 BSPT Female,7.65,B1F-04-08,180,B1F,,,,,4-Jan,2-Jan,,,,2,8-Apr,,,,,,,,
,3/8 BSPT Female X 3/8 BSPT Female,4.95,B1F-06-06,402,B1F,,,,,8-Mar,8-Mar,,,,2,6-Jun,,,,,,,,
,3/8 BSPT Female X 1/2 BSPT Female,6.75,B1F-06-08,190,B1F,,,,,8-Mar,2-Jan,,,,2,8-Jun,,,,,,,,
,1/2 BSPT Female X 1/2 BSPT Female,5.45,B1F-08-08,866,B1F,,,,,2-Jan,2-Jan,,,,2,8-Aug,,,,,,,,
,1/2 BSPT Female X 3/4 BSPT Female,7.3,B1F-08-12,217,B1F,,,,,2-Jan,4-Mar,,,,2,12-Aug,,,,,,,,
,3/4 BSPT Female X 3/4 BSPT Female,10,B1F-12-12,833,B1F,,,,,4-Mar,4-Mar,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Female X 1-0 BSPT Female,16.35,B1F-12-16,54,B1F,,,,,4-Mar,1,,,,2,16-Dec,,,,,,,,
,1-0 BSPT Female X 1-0 BSPT Female,14.2,B1F-16-16,1129,B1F,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Female X 1-1/4 BSPT Female,41.715,B1F-16-20,174,B1F,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-1/4 BSPT Female X 1-1/4 BSPT Female,21.7,B1F-20-20,231,B1F,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/2 BSPT Female X 1-1/2 BSPT Female,31.3,B1F-24-24,171,B1F,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,2-0 BSPT Female X 2-0 BSPT Female,46.15,B1F-32-32,225,B1F,,,,,2,2,,,,2,32-32,,,,,,,,
B1FFS,,,,,,,,BSPT Female X BSPP Female Swivel,,BSPT F,BSPP F/S,,,,,11940,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312370_1709547383_1709546527_B1FFS.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/4 BSPT Female X 1/4 BSPP Female Swicel,6.45,B1FFS-04-04,55,B1FFS,,,,,4-Jan,4-Jan,,,,2,4-Apr,,,,,,,,
,3/8 BSPT Female X 3/8 BSPP Female Swivel,7.6,B1FFS-06-06,24,B1FFS,,,,,8-Mar,8-Mar,,,,2,6-Jun,,,,,,,,
,1/2 BSPT Female X 3/8 BSPP Female Swivel,14.9,B1FFS-08-06,20,B1FFS,,,,,2-Jan,8-Mar,,,,2,6-Aug,,,,,,,,
,1/2 BSPT Female X 1/2 BSPP Female Swivel,8.65,B1FFS-08-08,21,B1FFS,,,,,2-Jan,2-Jan,,,,2,8-Aug,,,,,,,,
,3/4 BSPT Female X 3/4 BSPP Female Swivel,11.9,B1FFS-12-12,18,B1FFS,,,,,4-Mar,4-Mar,,,,2,12-Dec,,,,,,,,
,1-0 BSPT Female X 1-0 BSPP Female Swivel,41.75,B1FFS-16-16,23,B1FFS,,,,,1,1,,,,2,16-16,,,,,,,,
B1M,,,,,,,,BSPT Male X BSPT Male,,BSPT M,BSPT M,,,,,11950,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312371_1709547383_1709546527_B1M.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPT Male X 1/8 BSPT Male,2.9,B1M-02-02,1395,B1M,,,,,8-Jan,8-Jan,,,,2,2-Feb,,,,,,,,
,1/8 BSPT Male X 1/4 BSPT Male,1.85,B1M-02-04,856,B1M,,,,,8-Jan,4-Jan,,,,2,4-Feb,,,,,,,,
,1/8 BSPT Male X 3/8 BSPT Male,3.75,B1M-02-06,348,B1M,,,,,8-Jan,8-Mar,,,,2,6-Feb,,,,,,,,
,1/4 BSPT Male X 1/4 BSPT Male,2.1,B1M-04-04,1652,B1M,,,,,4-Jan,4-Jan,,,,2,4-Apr,,,,,,,,
,1/4 BSPT Male X 3/8 BSPT Male,2.3,B1M-04-06,943,B1M,,,,,4-Jan,8-Mar,,,,2,6-Apr,,,,,,,,
,1/4 BSPT Male X 1/2 BSPT Male,3.7,B1M-04-08,504,B1M,,,,,4-Jan,2-Jan,,,,2,8-Apr,,,,,,,,
,1/4 BSPT Male X 3/4 BSPT Male,7.75,B1M-04-12,0,B1M,,,,,4-Jan,4-Mar,,,,2,12-Apr,,,,,,,,
,3/8 BSPT Male X 3/8 BSPT Male,2.35,B1M-06-06,1147,B1M,,,,,8-Mar,8-Mar,,,,2,6-Jun,,,,,,,,
,3/8 BSPT Male X 1/2 BSPT Male,3,B1M-06-08,1069,B1M,,,,,8-Mar,2-Jan,,,,2,8-Jun,,,,,,,,
,3/8 BSPT Male X 3/4 BSPT Male,6.7,B1M-06-12,170,B1M,,,,,8-Mar,4-Mar,,,,2,12-Jun,,,,,,,,
,3/8 BSPT Male X 1-0 BSPT Male,12.75,B1M-06-16,47,B1M,,,,,8-Mar,1,,,,2,16-Jun,,,,,,,,
,1/2 BSPT Male X 1/2 BSPT Male,3,B1M-08-08,1195,B1M,,,,,2-Jan,2-Jan,,,,2,8-Aug,,,,,,,,
,1/2 BSPT Male X 5/8 BSPT Male,14.24,B1M-08-10,120,B1M,,,,,2-Jan,8-May,,,,2,10-Aug,,,,,,,,
,1/2 BSPT Male X 3/4 BSPT Male,4.5,B1M-08-12,397,B1M,,,,,2-Jan,4-Mar,,,,2,12-Aug,,,,,,,,
,1/2 BSPT Male X 1-0 BSPT Male,10.8,B1M-08-16,192,B1M,,,,,2-Jan,1,,,,2,16-Aug,,,,,,,,
,5/8 BSPT Male X 5/8 BSPT Male,10.45,B1M-10-10,58,B1M,,,,,8-May,8-May,,,,2,10-Oct,,,,,,,,
,5/8 BSPT Male X 3/4 BSPT Male,10.2,B1M-10-12,124,B1M,,,,,8-May,4-Mar,,,,2,12-Oct,,,,,,,,
,3/4 BSPT Male X 3/4 BSPT Male,6.1,B1M-12-12,957,B1M,,,,,4-Mar,4-Mar,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Male X 1-0 BSPT Male,6.8,B1M-12-16,612,B1M,,,,,4-Mar,1,,,,2,16-Dec,,,,,,,,
,3/4 BSPT Male X 1-1/4 BSPT Male,19.15,B1M-12-20,32,B1M,,,,,4-Mar,1 1/4,,,,2,20-Dec,,,,,,,,
,3/4 BSPT Male X 1-1/2 BSPT Male,39.33,B1M-12-24,20,B1M,,,,,4-Mar,1 1/2,,,,2,24-Dec,,,,,,,,
,1-0 BSPT Male X 1-0 BSPT Male,7.95,B1M-16-16,2094,B1M,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Male X 1-1/4 BSPT Male,24.1,B1M-16-20,87,B1M,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-0 BSPT Male X 1-1/2 BSPT Male,31.9,B1M-16-24,179,B1M,,,,,1,1 1/2,,,,2,16-24,,,,,,,,
,1-1/4 BSPT Male X 1-1/4 BSPT Male,15.35,B1M-20-20,195,B1M,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/4 BSPT Male X 1-1/2 BSPT Male,25,B1M-20-24,89,B1M,,,,,1 1/4,1 1/2,,,,2,20-24,,,,,,,,
,1-1/4 BSPT Male X 2-0 BSPT Male,49.95,B1M-20-32,26,B1M,,,,,1 1/4,2,,,,2,20-32,,,,,,,,
,1-1/2 BSPT Male X 1-1/2 BSPT Male,28.65,B1M-24-24,104,B1M,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,1-1/2 BSPT Male X 2-0 BSPT Male,41.95,B1M-24-32,53,B1M,,,,,1 1/2,2,,,,2,24-32,,,,,,,,
,2-0 BSPT Male X 2-0 BSPT Male,50,B1M-32-32,137,B1M,,,,,2,2,,,,2,32-32,,,,,,,,
B1MF,,,,,,,,BSPT Male X BSPT Female,,BSPT M,BSPT F,,,,,11960,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312371_1709547384_1709546528_B1MF.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPT Male X 1/8 BSPT Female,5.15,B1MF-02-02,406,B1MF,,,,,8-Jan,8-Jan,,,,2,2-Feb,,,,,,,,
,1/8 BSPT Male X 1/4 BSPT Female,3.95,B1MF-02-04,250,B1MF,,,,,8-Jan,4-Jan,,,,2,4-Feb,,,,,,,,
,1/4 BSPT Male X 1/4 BSPT Female,6.97,B1MF-04-04,325,B1MF,,,,,4-Jan,4-Jan,,,,2,4-Apr,,,,,,,,
,1/4 BSPT Male X 3/8 BSPT Female,13.45,B1MF-04-06,430,B1MF,,,,,4-Jan,8-Mar,,,,2,6-Apr,,,,,,,,
,1/4 BSPT Male X 1/2 BSPT Female,14.13,B1MF-04-08,92,B1MF,,,,,4-Jan,2-Jan,,,,2,8-Apr,,,,,,,,
,3/8 BSPT Male X 3/8 BSPT Female,6.8,B1MF-06-06,102,B1MF,,,,,8-Mar,8-Mar,,,,2,6-Jun,,,,,,,,
,3/8 BSPT Male X 1/2 BSPT Female,14.85,B1MF-06-08,113,B1MF,,,,,8-Mar,2-Jan,,,,2,8-Jun,,,,,,,,
,1/2 BSPT Male X 1/2 BSPT Female,10.13,B1MF-08-08,122,B1MF,,,,,2-Jan,2-Jan,,,,2,8-Aug,,,,,,,,
,1/2 BSPT Male X 3/4 BSPT Female,23.59,B1MF-08-12,223,B1MF,,,,,2-Jan,4-Mar,,,,2,12-Aug,,,,,,,,
,3/4 BSPT Male X 3/4 BSPT Female,14.91,B1MF-12-12,77,B1MF,,,,,4-Mar,4-Mar,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Male X 1-0 BSPT Female,19.75,B1MF-12-16,67,B1MF,,,,,4-Mar,1,,,,2,16-Dec,,,,,,,,
,1-0 BSPT Male X 1-0 BSPT Female,23,B1MF-16-16,9,B1MF,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Male X 1-1/4 BSPT Female,46,B1MF-16-20,12,B1MF,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-1/4 BSPT Male X 1-1/4 BSPT Female,46.55,B1MF-20-20,22,B1MF,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/2 BSPT Male X 1-1/2 BSPT Female,94.45,B1MF-24-24,17,B1MF,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,2-0 BSPT Male X 2.0 BSPT Female,54.6,B1MF-32-32,16,B1MF,,,,,2,2,,,,2,32-32,,,,,,,,
B1MFS,,,,,,,,BSPT Male X BSPP Female Swivel,,BSPT M,BSPP F/S,,,,,11970,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312371_1709547385_1709546529_B1MFS.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPT Male X 1/8 BSPP Female Swivel,6.85,B1MFS-02-02,284,B1MFS,,,,,8-Jan,8-Jan,,,,2,2-Feb,,,,,,,,
,1/8 BSPT Male X 1/4 BSPP Female Swivel,9,B1MFS-02-04,416,B1MFS,,,,,8-Jan,4-Jan,,,,2,4-Feb,,,,,,,,
,1/4 BSPT Male X 1/4 BSPP Female Swivel,7,B1MFS-04-04,466,B1MFS,,,,,4-Jan,4-Jan,,,,2,4-Apr,,,,,,,,
,1/4 BSPT Male  X 3/8 BSPP Female Swivel,19.5,B1MFS-04-06,261,B1MFS,,,,,4-Jan,8-Mar,,,,2,6-Apr,,,,,,,,
,1/4 BSPT Male X 1/2 BSPP Female Swivel,9.6,B1MFS-04-08,54,B1MFS,,,,,4-Jan,2-Jan,,,,2,8-Apr,,,,,,,,
,3/8 BSPT Male X 1/4 BSPP Female Swivel,6,B1MFS-06-04,61,B1MFS,,,,,8-Mar,4-Jan,,,,2,4-Jun,,,,,,,,
,3/8 BSPT Male X 3/8 BSPP Female Swivel,7.3,B1MFS-06-06,203,B1MFS,,,,,8-Mar,8-Mar,,,,2,6-Jun,,,,,,,,
,3/8 BSPT Male X 1/2 BSPP Female Swivel,10.1,B1MFS-06-08,166,B1MFS,,,,,8-Mar,2-Jan,,,,2,8-Jun,,,,,,,,
,3/8 BSPT Male X 3/4 BSPP Female Swivel,52.65,B1MFS-06-12,21,B1MFS,,,,,8-Mar,4-Mar,,,,2,12-Jun,,,,,,,,
,1/2 BSPT Male X 1/4 BSPP Female Swivel,14.45,B1MFS-08-04,21,B1MFS,,,,,2-Jan,4-Jan,,,,2,4-Aug,,,,,,,,
,1/2 BSPT Male X 3/8 BSPP Female Swivel,13.98,B1MFS-08-06,152,B1MFS,,,,,2-Jan,8-Mar,,,,2,6-Aug,,,,,,,,
,1/2 BSPT Male X 1/2 BSPP Female Swivel,8.8,B1MFS-08-08,157,B1MFS,,,,,2-Jan,2-Jan,,,,2,8-Aug,,,,,,,,
,1/2 BSPT Male X 3/4 BSPP Female Swivel,22.5,B1MFS-08-12,38,B1MFS,,,,,2-Jan,4-Mar,,,,2,12-Aug,,,,,,,,
,1/2 BSPT Male X 1-0 BSPP Female Swivel,28.45,B1MFS-08-16,13,B1MFS,,,,,2-Jan,1,,,,2,16-Aug,,,,,,,,
,3/4 BSPT Male X 1/2 BSPP Female Swivel,12.3,B1MFS-12-08,53,B1MFS,,,,,4-Mar,2-Jan,,,,2,8-Dec,,,,,,,,
,3/4 BSPT Male X 3/4 BSPP Female Swivel,14.05,B1MFS-12-12,160,B1MFS,,,,,4-Mar,4-Mar,,,,2,12-Dec,,,,,,,,
,3/4 BSPT Male X 1-0 BSPP Female Swivel,21.15,B1MFS-12-16,374,B1MFS,,,,,4-Mar,1,,,,2,16-Dec,,,,,,,,
,1-0 BSPT Male X 3/4 BSPP Female Swivel,21.1,B1MFS-16-12,34,B1MFS,,,,,1,4-Mar,,,,2,16-12,,,,,,,,
,1-0 BSPT Male X 1-0 BSPP Female Swivel,19.75,B1MFS-16-16,372,B1MFS,,,,,1,1,,,,2,16-16,,,,,,,,
,1-0 BSPT Male X 1-1/4 BSPP Female Swivel,42.9,B1MFS-16-20,6,B1MFS,,,,,1,1 1/4,,,,2,16-20,,,,,,,,
,1-1/4 BSPT Male X 1-0 BSPP Female Swivel,42.9,B1MFS-20-16,7,B1MFS,,,,,1 1/4,1,,,,2,20-16,,,,,,,,
,1-1/4 BSPT Male X1-1/4 BSPP FemaleSwivel,52.94,B1MFS-20-20,20,B1MFS,,,,,1 1/4,1 1/4,,,,2,20-20,,,,,,,,
,1-1/4 BSPT MaleX1-1/2 BSPP Female Swivel,180.5,B1MFS-20-24,0,B1MFS,,,,,1 1/4,1 1/2,,,,2,20-24,,,,,,,,
,1-1/2 BSPT MaleX1-1/2 BSPP Female Swivel,73.65,B1MFS-24-24,23,B1MFS,,,,,1 1/2,1 1/2,,,,2,24-24,,,,,,,,
,2-0 BSPT Male X 2.0 BSPP Female Swivel,124.65,B1MFS-32-32,11,B1MFS,,,,,2,2,,,,2,32-32,,,,,,,,
B1MFS-TP,,,,,,,,BSPT Male X BSPP Female Swivel X BSPP Test Port,,BPST M,BSPP F,BSPP F,,,,2,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312428_1709547524_1709546530_B1MFS-TP.jpg,Hydraulic , Diagnostics , Test Couplings , Adaptors ,In Line Test Ports,,
,1-0 BSPT Male X 1-0 BSPP Female X 1/8 BSPP Test Port,42.7,B1MFS-16-16TP,16,B1MFS-TP,,,,,1,1,8-Jan,,,2,16-16TP,,,,,,,,
B3F,,,,,,,,BSPT Female Tee,,BSPT F,BSPT F,BSPT F,,,,13810,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312396_1709547450_1709546530_B3F.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
,1/8 BSPT Female Tee,13.5,B3F-02-02-02,300,B3F,,,,,8-Jan,8-Jan,8-Jan,,,2,2/2/2002,,,,,,,,
,1/4 BSPT Female Tee,11.25,B3F-04-04-04,484,B3F,,,,,4-Jan,4-Jan,4-Jan,,,2,4/4/2004,,,,,,,,
,3/8 BSPT Female Tee,14.75,B3F-06-06-06,173,B3F,,,,,8-Mar,8-Mar,8-Mar,,,2,6/6/2006,,,,,,,,
,1/2 BSPT Female Tee,21.6,B3F-08-08-08,259,B3F,,,,,2-Jan,2-Jan,2-Jan,,,2,8/8/2008,,,,,,,,
,3/4 BSPT Female Tee,30,B3F-12-12-12,712,B3F,,,,,4-Mar,4-Mar,4-Mar,,,2,12/12/2012,,,,,,,,
,1-0  BSPT Female Tee,54,B3F-16-16-16,147,B3F,,,,,1,1,1,,,2,16-16-16,,,,,,,,
,1-1/4 BSPT Female Tee,92.95,B3F-20-20-20,6,B3F,,,,,1 1/4,1 1/4,1 1/4,,,2,20-20-20,,,,,,,,
,1-1/2 BSPT Female Tee,129.5,B3F-24-24-24,65,B3F,,,,,1 1/2,1 1/2,1 1/2,,,2,24-24-24,,,,,,,,
,2-0  BSPT Female Tee,195,B3F-32-32-32,116,B3F,,,,,2,2,2,,,2,32-32-32,,,,,,,,
B3FMR,,,,,,,,BSPT Female X BSPT Female X BSPT Male (Run)Tee,,BSPT F,BSPT F,BSPT M,,,,13820,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312396_1709547451_1709546531_B3FMR.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
,1/8 BSPTF X1/8 BSPTF X1/8 BSPTM(Run)Tee,11.1,B3FMR-02-02-02,27,B3FMR,,,,,8-Jan,8-Jan,8-Jan,,,2,2/2/2002,,,,,,,,
,1/4 BSPTFX1/4 BSPTFX1/4 BSPTM(Run)Tee,30.24,B3FMR-04-04-04,29,B3FMR,,,,,4-Jan,4-Jan,4-Jan,,,2,4/4/2004,,,,,,,,
,3/8 BSPTF X3/8 BSPTF X 3/8 BSPTM(Run)Tee,15.85,B3FMR-06-06-06,24,B3FMR,,,,,8-Mar,8-Mar,8-Mar,,,2,6/6/2006,,,,,,,,
,1/2 BSPTFX1/2 BSPTFX1/2 BSPTM(Run)Tee,42.71,B3FMR-08-08-08,15,B3FMR,,,,,2-Jan,2-Jan,2-Jan,,,2,8/8/2008,,,,,,,,
,3/4 BSPTFX3/4 BSPTFX3/4 BSPTM(Run)Tee,111.55,B3FMR-12-12-12,27,B3FMR,,,,,4-Mar,4-Mar,4-Mar,,,2,12/12/2012,,,,,,,,
,1-0 BSPTF X 1-0 BSPTF X 1-0 BSPTM(Run)Tee,74.35,B3FMR-16-16-16,44,B3FMR,,,,,1,1,1,,,2,16-16-16,,,,,,,,
,1-1/4 BSPTF X 1-1/4 BSPTF X 1-1/4 BSPTM(Run)Tee,204.2,B3FMR-20-20-20,0,B3FMR,,,,,1 1/4,1 1/4,1 1/4,,,2,20-20-20,,,,,,,,
B3FSML,,,,,,,,BSPP Female Swivel X BSPP Female Swivel X BSPT Male (Leg) Tee,,BSPP F,BSPP F,BSPT M,,,,13830,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312396_1709547452_1709546531_B3FSML.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
,1/4 BSPPF/SX1/4BSPPF/SX1/4 BSPTM(Leg)Tee,16.9,B3FSML-04-04-04,16,B3FSML,,,,,4-Jan,4-Jan,4-Jan,,,2,4/4/2004,,,,,,,,
,3/8BSPPFSX3/8BSPPFSX3/8BSPTM(Leg)Tee,20.65,B3FSML-06-06-06,14,B3FSML,,,,,8-Mar,8-Mar,8-Mar,,,2,6/6/2006,,,,,,,,
,1/2 BSPPFSX1/2 BSPPFSX1/2 BSPTM(Leg)Tee,76.47,B3FSML-08-08-08,25,B3FSML,,,,,2-Jan,2-Jan,2-Jan,,,2,8/8/2008,,,,,,,,
,3/4 BSPPFSX3/4 BSPPFSX3/4 BSPTM(Leg)Tee,104.73,B3FSML-12-12-12,43,B3FSML,,,,,4-Mar,4-Mar,4-Mar,,,2,12/12/2012,,,,,,,,
,1-0 BSPPFSX1-0 BSPPFSX1-0 BSPTM(Leg)Tee,171.75,B3FSML-16-16-16,44,B3FSML,,,,,1,1,1,,,2,16-16-16,,,,,,,,
B3M,,,,,,,,BSPT Male Tee,,BSPT M,BSPT M,BSPT M,,,,13840,https://truflow.hostedwp.com.au/truflow/public/admin/images/product/1710312396_1709547452_1709546531_B3M.jpg,Hydraulic , Adaptors , Tee Adaptors,,,,
,1/8 BSPT Male Tee,16.06,B3M-02-02-02,158,B3M,,,,,8-Jan,8-Jan,8-Jan,,,2,2/2/2002,,,,,,,,
,1/4 BSPT Male Tee,12.85,B3M-04-04-04,68,B3M,,,,,4-Jan,4-Jan,4-Jan,,,2,4/4/2004,,,,,,,,
,3/8 BSPT Male Tee,13.9,B3M-06-06-06,262,B3M,,,,,8-Mar,8-Mar,8-Mar,,,2,6/6/2006,,,,,,,,
,1/2 BSPT Male Tee,18.2,B3M-08-08-08,160,B3M,,,,,2-Jan,2-Jan,2-Jan,,,2,8/8/2008,,,,,,,,
,1/2 BSPTM X1/2 BSPTMX3/4 BSPTM(Leg) Tee,36.95,B3M-08-08-12,20,B3M,,,,,2-Jan,2-Jan,4-Mar,,,2,8/8/2012,,,,,,,,
,3/4 BSPTMX3/4BSPTMX1/2 BSPTM(Leg) Tee,35.45,B3M-12-12-08,18,B3M,,,,,4-Mar,4-Mar,2-Jan,,,2,12/12/2008,,,,,,,,
,3/4 BSPT Male Tee,20.95,B3M-12-12-12,89,B3M,,,,,4-Mar,4-Mar,4-Mar,,,2,12/12/2012,,,,,,,,
,1-0 BSPT Male Tee,33.2,B3M-16-16-16,78,B3M,,,,,1,1,1,,,2,16-16-16,,,,,,,,
